day,price_close,price_high,price_low,price_open
2017-08-19,44.98,46.49,42.99,46.49
2017-08-18,46.85,48.0,43.13,43.78
2017-08-17,43.77,44.86,43.0,43.75
2017-08-16,43.95,44.9,41.89,43.12
2017-08-15,42.86,45.67,41.15,45.61
2017-08-14,45.3,46.2,44.44,45.34
2017-08-13,45.05,47.42,43.62,46.19
2017-08-12,46.23,47.54,45.71,46.8
2017-08-11,46.87,47.97,45.64,46.79
2017-08-10,46.75,48.68,46.75,47.78
2017-08-09,47.68,50.25,46.69,48.67
2017-08-08,48.65,49.7,45.31,45.83
2017-08-07,45.73,46.75,45.09,45.33
2017-08-06,45.25,46.92,44.73,46.22
2017-08-05,46.24,47.09,43.02,43.25
2017-08-04,42.99,43.57,42.32,42.66
2017-08-03,42.5,43.0,41.8,41.85
2017-08-02,41.69,43.26,41.44,43.06
2017-08-01,43.16,44.3,39.72,42.11
2017-07-31,42.11,43.24,37.39,39.9
2017-07-30,39.86,41.22,39.3,40.71
2017-07-29,40.54,41.24,38.25,40.25
2017-07-28,40.25,42.2,40.02,41.86
2017-07-27,41.65,42.86,40.8,42.1
2017-07-26,41.8,42.9,40.23,42.1
2017-07-25,42.02,45.3,40.38,45.0
2017-07-24,44.95,45.62,43.6,44.9
2017-07-23,45.29,47.04,43.37,46.95
2017-07-22,46.87,47.5,44.85,45.21
2017-07-21,45.45,47.96,44.09,44.57
2017-07-20,45.06,45.77,39.95,40.6
2017-07-19,40.44,44.1,39.34,43.5
2017-07-18,43.5,46.0,41.1,42.21
2017-07-17,42.6,43.29,39.9,40.98
2017-07-16,40.35,41.65,35.95,38.42
2017-07-15,38.14,42.9,37.6,42.52
2017-07-14,42.52,46.0,40.0,45.6
2017-07-13,45.68,47.87,44.16,47.22
2017-07-12,47.25,48.99,42.0,43.54
2017-07-11,44.19,46.76,41.5,44.8
2017-07-10,44.8,49.91,42.31,48.74
2017-07-09,48.31,52.35,48.31,51.25
2017-07-08,50.7,52.0,44.35,46.18
2017-07-07,46.17,51.29,44.51,50.91
2017-07-06,50.92,53.6,49.44,52.66
2017-07-05,52.66,56.73,48.95,54.69
2017-07-04,55.01,55.01,45.15,45.34
2017-07-03,45.47,47.64,40.38,41.41
2017-07-02,41.42,41.89,37.06,37.6
2017-07-01,38.1,40.0,37.18,39.73
2017-06-30,39.88,41.31,39.3,40.78
2017-06-29,40.5,41.97,39.64,41.8
2017-06-28,42.04,42.99,40.55,41.7
