day,price_close,price_high,price_low,price_open
2018-02-10,851.83,913.3,815.0,879.86
2018-02-09,875.1,883.07,780.88,814.32
2018-02-08,812.01,846.28,748.42,753.95
2018-02-07,752.89,866.05,720.01,788.13
2018-02-06,784.01,808.0,565.0,692.38
2018-02-05,692.36,855.0,632.0,825.13
2018-02-04,826.51,969.96,782.0,969.96
2018-02-03,969.93,995.0,838.67,918.38
2018-02-02,918.39,1020.16,734.07,1020.16
2018-02-01,1022.08,1152.05,936.0,1110.14
2018-01-31,1110.14,1118.88,1010.77,1054.55
2018-01-30,1051.54,1172.0,1025.77,1168.0
2018-01-29,1168.0,1239.0,1141.0,1229.97
2018-01-28,1229.41,1240.0,1099.76,1115.15
2018-01-27,1115.51,1126.01,1034.45,1051.92
2018-01-26,1051.81,1075.9,984.0,1049.92
2018-01-25,1050.0,1105.0,1014.48,1063.0
2018-01-24,1065.0,1069.65,957.69,987.56
2018-01-23,983.7,1024.98,905.0,999.29
2018-01-22,997.21,1092.0,917.0,1052.35
2018-01-21,1049.09,1151.0,1008.0,1149.99
2018-01-20,1150.0,1171.0,1036.03,1039.83
2018-01-19,1036.03,1095.0,995.01,1024.66
2018-01-18,1024.69,1105.0,951.12,1029.22
2018-01-17,1027.53,1109.58,761.61,1057.88
2018-01-16,1057.88,1281.16,862.11,1272.66
2018-01-15,1276.71,1379.0,1269.0,1359.59
2018-01-14,1359.59,1389.0,1265.0,1381.52
2018-01-13,1384.78,1420.0,1256.0,1258.68
2018-01-12,1258.68,1288.34,1157.68,1173.43
2018-01-11,1135.0,1334.33,1100.0,1274.0
2018-01-10,1241.89,1378.99,1187.96,1287.45
2018-01-09,1287.47,1301.0,1115.0,1135.94
2018-01-08,1130.0,1229.76,964.0,1116.96
2018-01-07,1117.96,1118.72,1000.0,1004.25
2018-01-06,1004.27,1009.22,950.01,967.46
2018-01-05,966.0,1022.0,924.69,940.49
2018-01-04,940.0,999.91,895.52,938.09
2018-01-03,940.4,950.0,850.0,858.6
2018-01-02,858.6,888.0,754.5,754.5
2018-01-01,752.78,768.87,722.02,743.5
2017-12-31,743.48,759.08,687.03,698.45
2017-12-30,698.46,740.72,659.06,733.05
2017-12-29,732.67,758.0,709.0,719.89
2017-12-28,717.23,739.8,666.0,738.73
2017-12-27,738.78,770.0,704.54,751.1
2017-12-26,751.09,765.0,716.7,724.98
2017-12-25,724.0,750.0,684.0,691.72
2017-12-24,686.96,704.93,604.19,702.83
2017-12-23,699.86,755.0,649.57,670.11
2017-12-22,669.36,792.5,501.0,786.99
2017-12-21,783.8,842.73,752.0,799.91
2017-12-20,797.1,833.67,721.02,816.98
2017-12-19,817.72,870.0,772.91,786.98
2017-12-18,787.28,800.39,671.56,709.96
2017-12-17,706.93,726.0,683.06,683.98
2017-12-16,684.0,711.77,665.5,676.37
2017-12-15,676.36,692.5,601.13,689.82
2017-12-14,689.7,745.0,647.5,694.5
2017-12-13,694.5,742.23,585.0,622.42
2017-12-12,620.59,645.55,487.0,500.9
2017-12-11,503.47,505.0,421.17,421.17
2017-12-10,425.07,459.44,401.33,456.41
2017-12-09,456.38,497.99,430.2,441.58
2017-12-08,440.27,454.85,391.0,411.38
2017-12-07,411.03,436.42,400.0,417.09
2017-12-06,415.83,459.85,405.88,453.71
2017-12-05,455.76,471.9,450.49,467.83
2017-12-04,467.83,473.9,446.2,463.0
2017-12-03,463.0,482.8,441.02,456.06
2017-12-02,456.04,472.32,447.0,459.6
2017-12-01,460.3,469.4,415.16,435.0
2017-11-30,435.09,455.99,388.0,424.0
2017-11-29,423.9,519.23,403.0,464.1
2017-11-28,464.95,478.15,457.61,474.21
2017-11-27,474.67,487.0,456.24,468.99
2017-11-26,467.0,472.76,438.09,461.89
2017-11-25,463.0,483.0,451.0,470.73
2017-11-24,471.17,478.99,395.0,406.75
2017-11-23,406.75,426.04,370.11,381.78
2017-11-22,380.88,383.94,358.33,359.93
2017-11-21,359.6,372.94,345.52,367.52
2017-11-20,366.0,372.88,350.0,354.49
2017-11-19,354.48,372.0,344.01,346.96
2017-11-18,346.96,349.31,326.3,331.2
2017-11-17,331.25,334.86,325.0,330.88
2017-11-16,329.91,335.16,321.0,332.44
2017-11-15,331.87,340.0,323.19,335.54
2017-11-14,335.54,340.99,314.95,315.81
2017-11-13,316.14,320.69,305.91,306.11
2017-11-12,306.2,318.98,300.11,315.29
2017-11-11,315.76,322.19,298.0,298.65
2017-11-10,298.66,325.61,291.0,320.13
2017-11-09,321.32,331.7,306.5,307.88
2017-11-08,307.88,321.99,291.06,292.52
2017-11-07,292.79,306.23,284.01,297.33
2017-11-06,296.62,304.48,291.5,295.72
2017-11-05,294.6,301.46,294.03,300.73
2017-11-04,300.55,306.9,292.0,305.3
2017-11-03,305.28,309.42,282.24,284.79
2017-11-02,284.83,293.12,275.0,289.01
2017-11-01,289.3,306.25,287.0,303.01
2017-10-31,303.26,310.4,301.28,306.6
2017-10-30,306.73,310.99,303.0,303.02
2017-10-29,303.59,311.0,292.97,293.78
2017-10-28,293.25,297.9,291.75,296.23
2017-10-27,296.23,299.49,292.0,295.43
2017-10-26,295.63,301.44,293.45,296.32
2017-10-25,296.57,301.78,289.21,297.37
2017-10-24,297.13,312.62,277.06,283.93
2017-10-23,285.03,293.71,271.54,293.71
2017-10-22,294.07,305.57,289.49,299.58
2017-10-21,299.1,303.98,290.34,302.5
2017-10-20,302.4,312.01,301.0,307.5
2017-10-19,308.17,316.75,304.31,314.1
2017-10-18,314.1,316.1,287.08,315.82
2017-10-17,316.6,335.1,310.22,334.03
2017-10-16,333.59,350.96,330.6,335.29
2017-10-15,335.21,341.35,315.7,338.02
2017-10-14,338.04,346.69,333.02,337.54
2017-10-13,336.87,348.48,295.76,302.71
2017-10-12,302.71,308.47,299.01,303.07
2017-10-11,303.25,304.43,297.0,298.98
2017-10-10,298.06,304.99,291.0,296.8
2017-10-09,295.94,309.75,285.0,308.63
2017-10-08,308.65,313.9,307.01,311.0
2017-10-07,311.0,314.43,301.0,307.52
